team_name,p
Washington,0.205
Southern California,0.186
Penn St.,0.162
Minnesota,0.093
Nebraska,0.076
Texas,0.076
Wisconsin,0.052
UCLA,0.030
Kansas,0.029
BYU,0.018
Ohio St.,0.017
Florida,0.017
Stanford,0.017
Louisville,0.010
Illinois,0.008
Hawaii,0.002
North Carolina,0.001
Iowa St.,0.000
Jackson St.,0.000
Kansas St.,0.000
Kentucky,0.000
Lipscomb,0.000
Loyola Marymount,0.000
Marquette,0.000
Miami (FL),0.000
Michigan,0.000
Michigan St.,0.000
Missouri,0.000
Missouri St.,0.000
New Hampshire,0.000
New Mexico St.,0.000
Texas A&M Corpus-Christi,0.000
Ohio,0.000
Oregon,0.000
Pittsburgh,0.000
Purdue,0.000
Robert Morris,0.000
SMU,0.000
San Diego,0.000
Santa Clara,0.000
Southern Ill.,0.000
TCU,0.000
Texas A&M,0.000
UNCW,0.000
Villanova,0.000
Western Ky.,0.000
Wichita St.,0.000
Northern Ariz.,0.000
American,0.000
Arizona,0.000
Arizona St.,0.000
Arkansas St.,0.000
Belmont,0.000
Chattanooga,0.000
Cleveland St.,0.000
Coastal Caro.,0.000
Colorado St.,0.000
Creighton,0.000
Dayton,0.000
Denver,0.000
Fairfield,0.000
Florida St.,0.000
Harvard,0.000
Howard,0.000
